REEF_NAME,SECTOR,SHELF,LAT_DD,LON_DD,DATE,YEAR,YEARII,WEEK,WSSTA,TSASUMS_SM,PREV_1,CORAL_COVE,INC
OPAL (2),CA,O,-16.20343,145.9062,2/1/1999,1999,98/99,5,20,0,1,21.45146266,
OPAL (2),CA,O,-16.20343,145.9062,1/22/2000,2000,99/00,3,0,0,0,19.52286607,0
OPAL (2),CA,O,-16.20343,145.9062,1/27/2001,2001,00/01,4,1,0,0,18.7124011,0
OPAL (2),CA,O,-16.20343,145.9062,9/16/2001,2001,2-Jan,38,4,0,4,19.84396642,4
OPAL (2),CA,O,-16.20343,145.9062,11/5/2002,2002,3-Feb,45,3,1,15,19.06861472,11
OPAL (2),CA,O,-16.20343,145.9062,1/5/2004,2004,4-Mar,1,5,0,1,19.77384944,
PANDORA (,TO,I,-18.8125,146.42742,5/3/1999,1999,98/99,18,21,0,0,45.86290023,
PANDORA (,TO,I,-18.8125,146.42742,5/6/2000,2000,99/00,18,0,0,0,41.61888808,0
PANDORA (,TO,I,-18.8125,146.42742,5/10/2001,2001,00/01,19,3,0,0,40.18340158,0
PANDORA (,TO,I,-18.8125,146.42742,2/20/2002,2002,2-Jan,8,10,2,0,39.43647506,0
PANDORA (,TO,I,-18.8125,146.42742,3/21/2003,2003,3-Feb,12,0,0,0,40.74684685,0
PANDORA (,TO,I,-18.8125,146.42742,4/22/2004,2004,4-Mar,16,4,1,0,43.4,
REBE,WH,O,-19.7922,150.16142,3/5/1999,1999,98/99,9,18,1,0,19.3853578,
REBE,WH,O,-19.7922,150.16142,3/14/2000,2000,99/00,11,0,0,0,20.93310785,0
REBE,WH,O,-19.7922,150.16142,3/24/2001,2001,00/01,12,0,0,1,18.81110721,1
REBE,WH,O,-19.7922,150.16142,11/6/2001,2001,2-Jan,45,3,0,3,20.57406224,2
REBE,WH,O,-19.7922,150.16142,11/28/2002,2002,3-Feb,48,1,1,1,18.66825397,0
REBE,WH,O,-19.7922,150.16142,2/28/2004,2004,4-Mar,8,0,0,3,19.09553067,
RIB,TO,M,-18.47182,146.87865,4/30/1999,1999,98/99,17,23,0,12,44.40652543,
RIB,TO,M,-18.47182,146.87865,4/30/2000,2000,99/00,18,1,0,0,28.39552449,0
RIB,TO,M,-18.47182,146.87865,5/7/2001,2001,00/01,19,2,2,0,7.100105941,0
RIB,TO,M,-18.47182,146.87865,2/18/2002,2002,2-Jan,8,11,2,1,5.015092469,1
RIB,TO,M,-18.47182,146.87865,3/8/2003,2003,3-Feb,10,2,0,1,3.240350877,0
RIB,TO,M,-18.47182,146.87865,4/19/2004,2004,4-Mar,16,1,1,0,3.541880342,
ST. CRISP,CA,O,-16.07158,145.84515,1/30/1999,1999,98/99,4,22,0,1,25.84931769,
ST. CRISP,CA,O,-16.07158,145.84515,1/23/2000,2000,99/00,4,0,0,0,20.96171595,0
ST. CRISP,CA,O,-16.07158,145.84515,1/28/2001,2001,00/01,5,0,0,2,22.36959957,2
ST. CRISP,CA,O,-16.07158,145.84515,9/17/2001,2001,2-Jan,38,9,1,3,22.76725714,1
