PolyFID,Owner,X,Y,burn50,rx_cat3,zmin_d_a,zmin_di,zm_mcov,zm_ccov,Hectares,zmin_drd,prop_timb,Prop_no_b,zmin_dr,zmin_ddv,year
876,Wildlife Resources Commission,739133.3409,81208.08804,0,4,6.613962402,6.192293457,1.501909,0.166773,7.325636,0.566038879,0,1,5.758515625,0.573149169,2005
876,Wildlife Resources Commission,739133.3409,81208.08804,0,4,6.613962402,6.192293457,1.501909,0.166773,7.325636,0.566038879,0,1,5.758515625,0.573149169,2006
876,Wildlife Resources Commission,739133.3409,81208.08804,0,4,6.613962402,6.192293457,1.501909,0.166773,7.325636,0.566038879,0,1,5.758515625,0.573149169,2007
905,Wildlife Resources Commission,719495.6916,90651.40951,0,4,7.688549804,1.341640747,21.972923,5.21072,33.190333,0,0.035251,1,0.692603759,0,2004
905,Wildlife Resources Commission,719495.6916,90651.40951,0,4,7.688549804,1.341640747,21.972923,5.21072,33.190333,0,0.035251,1,0.692603759,0,2005
905,Wildlife Resources Commission,719495.6916,90651.40951,0,4,7.688549804,1.341640747,21.972923,5.21072,33.190333,0,0.035251,1,0.283019439,0,2006
905,Wildlife Resources Commission,719495.6916,90651.40951,0,4,7.688549804,1.341640747,21.972923,5.21072,33.190333,0,0.035251,1,0.283019439,0,2007
910,Wildlife Resources Commission,729251.5159,78389.33591,0,1,0.06,2.213503906,1.976866,13.700653,22.955056,3.301635986,0.015682,0.043127,0,0.510881591,2004
910,Wildlife Resources Commission,729251.5159,78389.33591,0,2,0.06,2.213503906,1.976866,13.700653,22.955056,3.301635986,0.015682,0.043127,0,0.510881591,2005
910,Wildlife Resources Commission,729251.5159,78389.33591,1,2,0.06,2.213503906,1.976866,13.700653,22.955056,3.301635986,0.015682,0.043127,0,0.510881591,2006
910,Wildlife Resources Commission,729251.5159,78389.33591,0,1,0.06,2.213503906,1.976866,13.700653,22.955056,3.301635986,0.015682,0.043127,0,0.510881591,2007
911,Wildlife Resources Commission,729466.5837,78356.58746,0,2,0,2.271497314,4.120839,15.802655,42.878176,2.957854003,0.01889,0.006296,0,0.24,2004
911,Wildlife Resources Commission,729466.5837,78356.58746,1,2,0,2.271497314,4.120839,15.802655,42.878176,2.957854003,0.01889,0.006296,0,0.24,2005
911,Wildlife Resources Commission,729466.5837,78356.58746,0,1,0,2.271497314,4.120839,15.802655,42.878176,2.957854003,0.01889,0.006296,0,0.24,2006
911,Wildlife Resources Commission,729466.5837,78356.58746,0,2,0,2.271497314,4.120839,15.802655,42.878176,2.957854003,0.01889,0.006296,0,0.24,2007
912,Wildlife Resources Commission,723218.3064,90471.96323,0,4,4.179054687,1.546382934,38.561096,19.904853,27.544846,3.203404541,0.042476,1,1.388128295,1.934941894,2004
912,Wildlife Resources Commission,723218.3064,90471.96323,0,4,4.179054687,1.546382934,38.561096,19.904853,27.544846,3.203404541,0.042476,1,1.129690185,1.934941894,2005
912,Wildlife Resources Commission,723218.3064,90471.96323,0,4,4.179054687,1.546382934,38.561096,19.904853,27.544846,3.203404541,0.042476,1,0.313209197,1.934941894,2006
912,Wildlife Resources Commission,723218.3064,90471.96323,0,4,4.179054687,1.546382934,38.561096,19.904853,27.544846,3.203404541,0.042476,1,0.313209197,1.934941894,2007
919,Wildlife Resources Commission,723748.5136,89418.98911,0,4,3.257314941,1.344656127,35.785945,2.02202,1.820658,4.446583007,0,0.988653,1.12929187,1.271377197,2004
919,Wildlife Resources Commission,723748.5136,89418.98911,0,4,3.257314941,1.344656127,35.785945,2.02202,1.820658,4.446583007,0,0.988653,1.12929187,1.271377197,2005
919,Wildlife Resources Commission,723748.5136,89418.98911,0,4,3.257314941,1.344656127,35.785945,2.02202,1.820658,4.446583007,0,0.988653,1.12929187,1.271377197,2006
919,Wildlife Resources Commission,723748.5136,89418.98911,0,4,3.257314941,1.344656127,35.785945,2.02202,1.820658,4.446583007,0,0.988653,1.12929187,1.271377197,2007
930,Wildlife Resources Commission,724756.6996,76083.87244,0,4,0.161554946,5.414147949,22.917058,8.830194,1.507238,2.966968261,0,1,0.03,3.11364746,2004
930,Wildlife Resources Commission,724756.6996,76083.87244,0,4,0.161554946,5.414147949,22.917058,8.830194,1.507238,2.966968261,0,1,0.03,3.11364746,2005
930,Wildlife Resources Commission,724756.6996,76083.87244,0,4,0.161554946,5.414147949,22.917058,8.830194,1.507238,2.966968261,0,1,0.03,3.11364746,2006
930,Wildlife Resources Commission,724756.6996,76083.87244,0,4,0.161554946,5.414147949,22.917058,8.830194,1.507238,2.966968261,0,1,0.03,3.11364746,2007
931,Wildlife Resources Commission,731820.4039,73699.35048,0,2,0.324499603,6.270071777,4.151785,4.973285,1.298351,0.576281188,0.069318,0,0,0.335410186,2004
931,Wildlife Resources Commission,731820.4039,73699.35048,1,2,0.324499603,6.270071777,4.151785,4.973285,1.298351,0.576281188,0.069318,0,0,0.335410186,2005
931,Wildlife Resources Commission,731820.4039,73699.35048,0,1,0.324499603,6.270071777,4.151785,4.973285,1.298351,0.576281188,0.069318,0,0,0.335410186,2006
931,Wildlife Resources Commission,731820.4039,73699.35048,0,2,0.324499603,6.270071777,4.151785,4.973285,1.298351,0.576281188,0.069318,0,0,0.335410186,2007
932,Wildlife Resources Commission,731733.8822,74007.7642,0,1,0,5.334435546,1.266958,4.462438,46.519767,0.254558441,0.019346,0.021281,0,0,2004
932,Wildlife Resources Commission,731733.8822,74007.7642,1,2,0,5.334435546,1.266958,4.462438,46.519767,0.254558441,0.019346,0.021281,0,0,2005
932,Wildlife Resources Commission,731733.8822,74007.7642,0,1,0,5.334435546,1.266958,4.462438,46.519767,0.254558441,0.019346,0.019346,0,0,2006
932,Wildlife Resources Commission,731733.8822,74007.7642,0,2,0,5.334435546,1.266958,4.462438,46.519767,0.254558441,0.019346,0.019346,0,0,2007
934,Wildlife Resources Commission,730585.6952,90424.72225,0,4,1.090779541,1.116467651,9.371186,0.261266,1.282862,7.74,0,1,1.282653442,5.478841308,2004
934,Wildlife Resources Commission,730585.6952,90424.72225,0,4,1.090779541,1.116467651,9.371186,0.261266,1.282862,7.74,0,1,0.18,5.478841308,2005
934,Wildlife Resources Commission,730585.6952,90424.72225,0,4,1.090779541,1.116467651,9.371186,0.261266,1.282862,7.74,0,1,0.18,5.478841308,2006
934,Wildlife Resources Commission,730585.6952,90424.72225,0,4,1.090779541,1.116467651,9.371186,0.261266,1.282862,7.74,0,1,0.18,5.478841308,2007
