Plot,SPP,U,V,W,date,truecover,logw
579,FRAX1S1,1,1.476377953,1.711925983,2000,2,0.537619043
579,JUNIVIR,5,2.460629921,0.951069991,2000,2,-0.050167622
579,MORURUB,1,1.476377953,1.711925983,2000,2,0.537619043
579,PINUVIR,1,10.33464567,83.88437317,2000,2,4.429439341
58,AMELARB,10,4.921259843,1.902139981,2000,2,0.642979558
58,EUONAME,10,4.921259843,1.902139981,2000,2,0.642979558
58,JUNIVIR,26,13.77952756,6.467275936,2000,2,1.86675499
58,PRUNSER,5,2.460629921,0.951069991,2000,2,-0.050167622
582,CARYTOM,6,3.937007874,2.662995974,2000,2,0.979451795
582,JUNIVIR,3,22.14566929,129.9161607,2000,2,4.866889325
582,VIBUPRU,5,2.460629921,0.951069991,2000,2,-0.050167622
583,CARYCOR,23,16.24015748,16.54861784,2000,2,2.806302584
583,CARYCOR,23,16.24015748,16.54861784,2000,2,2.806302584
583,CARYGLA,6,6.88976378,16.35840384,2000,2,2.794741762
583,OXYDARB,2,12.79527559,64.29233137,2000,2,4.163440361
585,EUONAME,5,2.460629921,0.951069991,1999,2,-0.050167622
585,JUNIVIR,1,1.476377953,1.711925983,1999,2,0.537619043
585,NYSSSYL,3,4.429133858,5.135777949,1999,2,1.636231331
585,PINUECH,1,67,3525.652355,1999,2,8.167820764
585,QUERALB,10,4.921259843,1.902139981,1999,2,0.642979558
585,ULMURUB,1,3.44488189,9.320485908,1999,2,2.232214763
59,JUNIVIR,2,2.952755906,3.423851966,2001,2,1.230766223
59,MORURUB,1,1.476377953,1.711925983,2001,2,0.537619043
59,ULMURUB,1,2.460629921,4.755349953,2001,2,1.55927029
59,VIBURAF,15,7.381889764,2.853209972,2001,2,1.048444666
6,ASIMPAR,1,1.476377953,1.711925983,2001,2,0.537619043
6,MORURUB,5,2.460629921,0.951069991,2001,2,-0.050167622
6,PRUNSER,5,2.460629921,0.951069991,2001,2,-0.050167622
6,QUERRUB,1,1.476377953,1.711925983,2001,2,0.537619043
6,QUERRUB,25,12.30314961,4.755349953,2001,2,1.55927029
6,ULMURUB,1,1.476377953,1.711925983,2001,2,0.537619043
60,ACERBAR,1,1.476377953,1.711925983,2000,2,0.537619043
60,CARYOVT,2,7.874015748,24.72781976,2001,2,3.207928916
